"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"2878","DDX21",0.708228230835471,9.46204352286266,53.0302056723233,5.28355254387544e-11,"Q9NR30","Q9NR30","reviewed","DDX21_HUMAN","Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)","DDX21","FUNCTION: RNA helicase that acts as a sensor of the transcriptional status of both RNA polymerase (Pol) I and II: promotes ribosomal RNA (rRNA) processing and transcription from polymerase II (Pol II) (PubMed:25470060, PubMed:28790157). Binds various RNAs, such as rRNAs, snoRNAs, 7SK and, at lower extent, mRNAs (PubMed:25470060). In the nucleolus, localizes to rDNA locus, where it directly binds rRNAs and snoRNAs, and promotes rRNA transcription, processing and modification. Required for rRNA 2'-O-methylation, possibly by promoting the recruitment of late-acting snoRNAs SNORD56 and SNORD58 with pre-ribosomal complexes (PubMed:25470060, PubMed:25477391). In the nucleoplasm, binds 7SK RNA and is recruited to the promoters of Pol II-transcribed genes: acts by facilitating the release of P-TEFb from inhibitory 7SK snRNP in a manner that is dependent on its helicase activity, thereby promoting transcription of its target genes (PubMed:25470060). Functions as cofactor for JUN-activated transcription: required for phosphorylation of JUN at 'Ser-77' (PubMed:11823437, PubMed:25260534). Can unwind double-stranded RNA (helicase) and can fold or introduce a secondary structure to a single-stranded RNA (foldase) (PubMed:9461305). Together with SIRT7, required to prevent R-loop-associated DNA damage and transcription-associated genomic instability: deacetylation by SIRT7 activates the helicase activity, thereby overcoming R-loop-mediated stalling of RNA polymerases (PubMed:28790157). Involved in rRNA processing (PubMed:14559904, PubMed:18180292). May bind to specific miRNA hairpins (PubMed:28431233). Component of a multi-helicase-TICAM1 complex that acts as a cytoplasmic sensor of viral double-stranded RNA (dsRNA) and plays a role in the activation of a cascade of antiviral responses including the induction of pro-inflammatory cytokines via the adapter molecule TICAM1 (By similarity). {ECO:0000250|UniProtKB:Q9JIK5, ECO:0000269|PubMed:11823437, ECO:0000269|PubMed:14559904, ECO:0000269|PubMed:18180292, ECO:0000269|PubMed:25260534, ECO:0000269|PubMed:25470060, ECO:0000269|PubMed:25477391, ECO:0000269|PubMed:28431233, ECO:0000269|PubMed:28790157, ECO:0000269|PubMed:9461305}.","DDX21","B-WICH complex [GO:0110016]; chromosome [GO:0005694]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 7SK snRNA binding [GO:0097322]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]; chromatin remodeling [GO:0006338]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; osteoblast differentiation [GO:0001649]; positive regulation of histone acetylation [GO:0035066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; R-loop disassembly [GO:0062176]; response to exogenous dsRNA [GO:0043330]; rRNA processing [GO:0006364]; transcription by RNA polymerase II [GO:0006366]","Q8N187; P07910; P42858; O00505; Q99732; P10636; Q15554; P0DTC9","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11823437, ECO:0000269|PubMed:18180292, ECO:0000269|PubMed:23848194, ECO:0000269|PubMed:25260534, ECO:0000269|PubMed:25470060, ECO:0000269|PubMed:28790157, ECO:0000269|PubMed:8614622}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11823437, ECO:0000269|PubMed:18180292, ECO:0000269|PubMed:25260534, ECO:0000269|PubMed:25470060, ECO:0000269|PubMed:28790157}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JIK5}. Mitochondrion {ECO:0000250|UniProtKB:Q9JIK5}. Note=Present both in nucleolus and nucleoplasm. Interaction with JUN promotes translocation from the nucleolus to the nucleoplasm (PubMed:11823437, PubMed:18180292). Interaction with WDR46 is required for localization to the nucleolus (PubMed:23848194). Colocalizes in the cytosol with DDX1, DHX36 and TICAM1. The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) RNA ligand stimulation (By similarity). {ECO:0000250|UniProtKB:Q9JIK5, ECO:0000269|PubMed:11823437, ECO:0000269|PubMed:18180292, ECO:0000269|PubMed:23848194}.","ENST00000354185.9 [Q9NR30-1];ENST00000620315.2 [Q9NR30-2];ENST00000690316.1 [Q9NR30-2];",1.51948755217688e-08
"2956","DGKD",0.831844274397065,6.50501054285298,37.4877294652669,5.1813626851165e-08,"C9JY42","C9JY42","unreviewed","C9JY42_HUMAN","Diacylglycerol kinase delta","DGKD","","DGKD","ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; phosphorylation [GO:0016310]; signal transduction [GO:0007165]","","","ENST00000427930.5;ENST00000625865;",6.57965770585314e-06
"2960","DGKI",1.21112402629296,3.52214706266986,14.7718796601658,0.000202545012789703,"O75912","O75912","reviewed","DGKI_HUMAN","Diacylglycerol kinase iota (DAG kinase iota) (DGK-iota) (EC 2.7.1.107)","DGKI","FUNCTION: Diacylglycerol kinase that converts diacylglycerol/DAG into phosphatidic acid/phosphatidate/PA and regulates the respective levels of these two bioactive lipids (PubMed:9830018, PubMed:23949095). Thereby, acts as a central switch between the signaling pathways activated by these second messengers with different cellular targets and opposite effects in numerous biological processes (Probable). Has probably no preference for any of the diacylglycerols in terms of the acyl chain composition, especially for the acyl chain at the sn-2 position (PubMed:9830018). By controlling the diacylglycerol/DAG-mediated activation of RASGRP3, negatively regulates the Rap1 signaling pathway. May play a role in presynaptic diacylglycerol/DAG signaling and control neurotransmitter release during metabotropic glutamate receptor-dependent long-term depression (By similarity). {ECO:0000250|UniProtKB:D3YWQ0, ECO:0000269|PubMed:23949095, ECO:0000269|PubMed:9830018, ECO:0000305}.","DGKI","anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; synaptic membrane [GO:0097060]; synaptic vesicle membrane [GO:0030672]; ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; metal ion binding [GO:0046872]; diacylglycerol metabolic process [GO:0046339]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; platelet activation [GO:0030168]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of synaptic transmission, glutamatergic [GO:0051966]","P40337-3","SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000250|UniProtKB:F1MAB7}. Cell projection, dendrite {ECO:0000250|UniProtKB:F1MAB7}. Presynapse {ECO:0000250|UniProtKB:F1MAB7}. Postsynapse {ECO:0000250|UniProtKB:F1MAB7}. Postsynaptic density {ECO:0000250|UniProtKB:F1MAB7}. Synaptic cell membrane {ECO:0000250|UniProtKB:F1MAB7}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:F1MAB7}. Cytoplasm, cytosol {ECO:0000269|PubMed:9830018}. Nucleus {ECO:0000269|PubMed:9830018}. Note=Excluded from inhibitory synapses (By similarity). Localization between cytoplasm and nucleus is regulated by protein kinase C (PubMed:9830018). Both in the detergent soluble and particulate fractions (By similarity). {ECO:0000250|UniProtKB:F1MAB7, ECO:0000269|PubMed:9830018}.","ENST00000288490.9;",0.00674781988094623
"2966","DHCR24",-0.550211393359234,7.5406958992362,28.6005635964232,4.81294232503435e-07,"Q15392","Q15392","reviewed","DHC24_HUMAN","Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)","DHCR24 KIAA0018","FUNCTION: Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis (PubMed:11519011, PubMed:21671375, PubMed:25637936, PubMed:22178193). In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress (PubMed:11007892, PubMed:22010141). Also protects against amyloid-beta peptide-induced apoptosis (PubMed:11007892). {ECO:0000269|PubMed:11007892, ECO:0000269|PubMed:11519011, ECO:0000269|PubMed:21671375, ECO:0000269|PubMed:22010141, ECO:0000269|PubMed:22178193, ECO:0000269|PubMed:25637936}.","DHCR24","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; delta24(24-1) sterol reductase activity [GO:0000246]; delta24-sterol reductase activity [GO:0050614]; enzyme binding [GO:0019899]; FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; peptide antigen binding [GO:0042605]; amyloid precursor protein catabolic process [GO:0042987]; apoptotic process [GO:0006915]; cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; male genitalia development [GO:0030539]; membrane organization [GO:0061024]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; plasminogen activation [GO:0031639]; protein localization [GO:0008104]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; regulation of neuron death [GO:1901214]; response to hormone [GO:0009725]; response to oxidative stress [GO:0006979]; skin development [GO:0043588]; steroid metabolic process [GO:0008202]; tissue development [GO:0009888]","","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11007892, ECO:0000269|PubMed:22010141}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:11007892}; Single-pass membrane protein {ECO:0000255}.","ENST00000371269.9 [Q15392-1];ENST00000436604.2 [Q15392-1];",4.39821963123233e-05
"3027","DLC1",0.634319499582224,5.12335151265056,17.6610834188795,5.35659163247949e-05,"Q96QB1","Q96QB1","reviewed","RHG07_HUMAN","Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12)","DLC1 ARHGAP7 KIAA1723 STARD12","FUNCTION: Functions as a GTPase-activating protein for the small GTPases RHOA, RHOB, RHOC and CDC42, terminating their downstream signaling. This induces morphological changes and detachment through cytoskeletal reorganization, playing a critical role in biological processes such as cell migration and proliferation. Also functions in vivo as an activator of the phospholipase PLCD1. Active DLC1 increases cell migration velocity but reduces directionality. {ECO:0000269|PubMed:18786931, ECO:0000269|PubMed:19170769, ECO:0000269|PubMed:19710422}.","DLC1","caveola [GO:0005901]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane raft [GO:0045121]; nucleus [GO:0005634]; ruffle membrane [GO:0032587]; GTPase activator activity [GO:0005096]; lipid binding [GO:0008289]; SH2 domain binding [GO:0042169]; actin cytoskeleton organization [GO:0030036]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; focal adhesion assembly [GO:0048041]; forebrain development [GO:0030900]; heart morphogenesis [GO:0003007]; hindbrain morphogenesis [GO:0021575]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; neural tube closure [GO:0001843]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of protein dephosphorylation [GO:0035307]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell shape [GO:0008360]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","P20936; Q923Q2; Q04205","SUBCELLULAR LOCATION: Cytoplasm. Cell junction, focal adhesion. Membrane; Peripheral membrane protein. Note=Colocalizes with EF1A1 at actin-rich regions in the cell periphery.","ENST00000276297.9 [Q96QB1-2];ENST00000316609.9 [Q96QB1-3];ENST00000358919.6 [Q96QB1-1];ENST00000511869.1 [Q96QB1-5];ENST00000512044.6 [Q96QB1-6];ENST00000520226.5 [Q96QB1-4];",0.00237536294704691
"3036","DLGAP5",-0.533175712409869,8.1268169889035,32.8266968157874,8.74278825836189e-08,"Q15398","Q15398","reviewed","DLGP5_HUMAN","Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)","DLGAP5 DLG7 KIAA0008","FUNCTION: Potential cell cycle regulator that may play a role in carcinogenesis of cancer cells. Mitotic phosphoprotein regulated by the ubiquitin-proteasome pathway. Key regulator of adherens junction integrity and differentiation that may be involved in CDH1-mediated adhesion and signaling in epithelial cells. {ECO:0000269|PubMed:12527899, ECO:0000269|PubMed:14699157, ECO:0000269|PubMed:15145941}.","DLGAP5","centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; spindle pole centrosome [GO:0031616]; microtubule binding [GO:0008017]; centrosome localization [GO:0051642]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic spindle organization [GO:0007052]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; regulation of mitotic cell cycle [GO:0007346]; signaling [GO:0023052]","Q08379; Q5JR59","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, cytoskeleton, spindle. Note=Localizes to the spindle in mitotic cells. Colocalizes with CDH1 at sites of cell-cell contact in intestinal epithelial cells.","ENST00000247191.7 [Q15398-2];ENST00000395425.6 [Q15398-3];",1.01770218559836e-05
"3053","DMRTA1",-1.33039300535351,4.01765052730888,31.3447357828953,1.57973561010827e-07,"Q5VZB9","Q5VZB9","reviewed","DMRTA_HUMAN","Doublesex- and mab-3-related transcription factor A1","DMRTA1 DMO","","DMRTA1","chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; germ cell development [GO:0007281]; male mating behavior [GO:0060179]; ovarian follicle development [GO:0001541]; regulation of transcription by RNA polymerase II [GO:0006357]; sex differentiation [GO:0007548]","O60333-2; Q9Y3C5; O76024","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00070}.","ENST00000325870.3;",1.72588321738979e-05
"3083","DNAJB1",-0.551294563900458,8.00105597541665,33.1318198855446,7.74669470493484e-08,"A0A7I2V3K7","A0A7I2V3K7","unreviewed","A0A7I2V3K7_HUMAN","DnaJ homolog subfamily B member 1","DNAJB1","","DNAJB1","unfolded protein binding [GO:0051082]; protein folding [GO:0006457]","","","ENST00000676577.1;",9.18147646361853e-06
"3104","DNAJC2",0.392665298549232,7.50150420105614,18.646782820488,3.43401019068834e-05,"Q99543","Q99543","reviewed","DNJC2_HUMAN","DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]","DNAJC2 MPHOSPH11 MPP11 ZRF1","FUNCTION: Acts both as a chaperone in the cytosol and as a chromatin regulator in the nucleus. When cytosolic, acts as a molecular chaperone: component of the ribosome-associated complex (RAC), a complex involved in folding or maintaining nascent polypeptides in a folding-competent state. In the RAC complex, stimulates the ATPase activity of the ribosome-associated pool of Hsp70-type chaperones HSPA14 that bind to the nascent polypeptide chain. When nuclear, mediates the switching from polycomb-repressed genes to an active state: specifically recruited at histone H2A ubiquitinated at 'Lys-119' (H2AK119ub), and promotes the displacement of the polycomb PRC1 complex from chromatin, thereby facilitating transcription activation. {ECO:0000269|PubMed:15802566, ECO:0000269|PubMed:16002468, ECO:0000269|PubMed:21179169}.","DNAJC2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATPase activator activity [GO:0001671]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; Hsp70 protein binding [GO:0030544]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; ubiquitin modification-dependent histone binding [GO:0061649]; 'de novo' cotranslational protein folding [GO:0051083]; chromatin organization [GO:0006325]; DNA replication [GO:0006260]; negative regulation of DNA biosynthetic process [GO:2000279]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cellular response to heat [GO:1900034]; regulation of translational fidelity [GO:0006450]","P0C0S8","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21179169}. Cytoplasm, cytosol {ECO:0000269|PubMed:16002468, ECO:0000269|PubMed:21179169}.","ENST00000249270.11 [Q99543-2];ENST00000379263.8 [Q99543-1];",0.00163395385131633
"3123","DNASE1",-1.01085981684981,3.33431252493765,16.5425508725041,8.92042183488673e-05,"P24855","P24855","reviewed","DNAS1_HUMAN","Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I) (Dornase alfa)","DNASE1 DNL1 DRNI","FUNCTION: Serum endocuclease secreted into body fluids by a wide variety of exocrine and endocrine organs (PubMed:2251263, PubMed:11241278, PubMed:2277032). Expressed by non-hematopoietic tissues and preferentially cleaves protein-free DNA (By similarity). Among other functions, seems to be involved in cell death by apoptosis (PubMed:11241278). Binds specifically to G-actin and blocks actin polymerization (By similarity). Together with DNASE1L3, plays a key role in degrading neutrophil extracellular traps (NETs) (By similarity). NETs are mainly composed of DNA fibers and are released by neutrophils to bind pathogens during inflammation (By similarity). Degradation of intravascular NETs by DNASE1 and DNASE1L3 is required to prevent formation of clots that obstruct blood vessels and cause organ damage following inflammation (By similarity). {ECO:0000250|UniProtKB:P00639, ECO:0000250|UniProtKB:P21704, ECO:0000250|UniProtKB:P49183, ECO:0000269|PubMed:11241278, ECO:0000269|PubMed:2251263, ECO:0000269|PubMed:2277032}.","DNASE1","extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; zymogen granule [GO:0042588]; actin binding [GO:0003779]; deoxyribonuclease I activity [GO:0004530]; DNA binding [GO:0003677]; apoptotic process [GO:0006915]; DNA catabolic process [GO:0006308]; DNA catabolic process, endonucleolytic [GO:0000737]; neutrophil activation involved in immune response [GO:0002283]; regulation of acute inflammatory response [GO:0002673]; regulation of neutrophil mediated cytotoxicity [GO:0070948]","","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2277032}. Zymogen granule {ECO:0000305}. Nucleus envelope. Note=Secretory protein, stored in zymogen granules and found in the nuclear envelope.","ENST00000246949.10 [P24855-1];ENST00000407479.5 [P24855-1];",0.00357413883039033
